1,"3D Printing","http://en.wikipedia.org/wiki/3d_printing","The process of creating three dimensional objects from digital data using a materials printer, in a manner similar to printing images on paper. The term is most closely associated with additive manufacturing technology, where an object is created by laying down successive layers of material."
2,"Ablation","http://en.wikipedia.org/wiki/Ablation","The removal of material from the surface of an object by vaporisation, chipping, or other erosive processes. The term occurs in space physics associated with atmospheric reentry, in glaciology, medicine and passive fire protection. In space vehicle design, ablation is used to both cool and protect mechanical parts and/or payloads that would otherwise be adversely affected by extremely high temperatures."
3,"Abrasion","http://en.wikipedia.org/wiki/Abrasion_(mechanical)","The process of scuffing, scratching, wearing down, marring, or rubbing away. It can be intentionally imposed in a controlled process using an abrasive."
4,"Absorption (EM radiation)","http://en.wikipedia.org/wiki/Absorption_(electromagnetic_radiation)","The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
5,"Absorption (physical)","http://en.wikipedia.org/wiki/Absorption_(chemistry)","A physical or chemical phenomenon or a process in which atoms, molecules, or ions enter some bulk phase - gas, liquid or solid material. This is a different from Adsorption, since the molecules are taken up by the volume, not by surface."
6,"Absorption Spectroscopy","http://en.wikipedia.org/wiki/Absorption_spectroscopy","Spectroscopic techniques that measure the absorption of radiation as a function of frequency or wavelength, due to its interaction with a sample."
7,"Absorptive Filter","http://en.wikipedia.org/wiki/Optical_filter#Absorptive","A filter that absorbes some wavelengths of incident radiation whilst transmitting others."
8,"Accelerometer","http://en.wikipedia.org/wiki/Accelerometer","A device for measuring acceleration and gravity induced reaction forces."
9,"Accumulator (energy)","http://en.wikipedia.org/wiki/Accumulator_(energy)","An apparatus by means of which energy can be stored, such as a rechargeable battery or a hydraulic accumulator. May be electrical, fluidic or mechanical. Sometimes used to convert a small continuous power source into a short surge of energy or vice versa. Other examples  include capacitors, compulsators, steam accumulator, wave energy machines and pumped-storage hydroelectric plants."
10,"Acoustic Absorption","https://en.wikipedia.org/wiki/Absorption_(acoustics)","The process by which a material, structure, or object takes in sound energy when sound waves are encountered, as opposed to reflecting the energy. Part of the absorbed energy is transformed into heat and part is transmitted through the absorbing body."
11,"Acoustic Cavitation","http://en.wikipedia.org/wiki/Sonic_cavitation","Cavitation induced by an acoustic field. Microscopic gas bubbles which are generally present in a liquid will be forced to oscillate due to an applied acoustic field. If the acoustic intensity is sufficiently high, the bubbles will first grow in size, and then rapidly collapse.  High power ultrasonics usually use the inertial cavitation of microscopic vacuum bubbles for treatment of surfaces, liquids and slurries."
12,"Acoustic Emission","http://en.wikipedia.org/wiki/Acoustic_emission","Transient elastic waves within a material due to localised stress release. Acoustic Emission (AE) events can occur rapidly when materials begin to fail. AE events commonly studied include the extension of a fatigue crack, or fibre breakage in composite materials. AE is related to an irreversible release of energy, and can be generated from sources not involving material failure including friction, cavitation and impact."
13,"Acoustic Lens",,"A mechanical device used in loudspeaker design, ultrasound imaging and other applictions to direct and modify sound waves in a manner analogous to optical lenses."
14,"Acoustic Levitation","http://en.wikipedia.org/wiki/Acoustic_levitation","A method for suspending matter in a medium by using acoustic radiation pressure from intense sound waves in the medium. Usually used for containerless processing. Although harder to control than some other methods it has the advantage of being able to levitate nonconducting materials."
15,"Acoustic Lubrication","http://en.wikipedia.org/wiki/Acoustic_lubrication","(or sonic lubrication) occurs when sound permits vibration to introduce separation between sliding faces (or between a series of particles). The frequency of sound required to induce optimal vibration, and thus cause sonic lubrication, varies with the size of the particles (high frequencies will have the effect on sand and lower frequencies will have on boulders)."
16,"Acoustic Microscopy","https://en.wikipedia.org/wiki/Acoustic_microscopy","A microscopy technique that employs very high or ultra high frequency ultrasound. Acoustic microscopes operate non-destructively and penetrate most solid materials to make visible images of internal features, including defects such as cracks, delaminations and voids."
17,"Acoustic Radiation Pressure","http://en.wikipedia.org/wiki/Acoustic_tweezers#Acoustic_radiation_force","A force on a particle suspended in the field of a sound wave arising from the scattering of the acoustic waves on the particle."
18,"Acoustic Tweezers","http://en.wikipedia.org/wiki/Acoustic_tweezers","A technology for controlling the movement of objects by sound waves. In a standing acoustic field, objects will experience an acoustic radiation force that moves the objects to special regions of the acoustic field.Depending on the properties  of the objects, they can be moved to either acoustic pressure nodes or pressure antinodes."
19,"Acoustics","http://en.wikipedia.org/wiki/Acoustics","The the use of structures or other systems to affect the generation, propagation and reception of mechanical waves and vibrations."
20,"Acousto-optic Effect","http://en.wikipedia.org/wiki/Acousto-optic_effect#The_Acousto-optic_effect","A specific case of photoelasticity, where there is a change of a material's permittivity due to a mechanical strain resulting from an acoustic wave which has been excited within a transparent medium giving rise to variation of the refractive index. This creates a diffraction grating moving with the velocity given by the spread on the sound wave in the medium which defracts light forming a prominent diffraction pattern."
21,"Activated Alumina","http://en.wikipedia.org/wiki/Activated_alumina","A manufactured form of alumina (aluminium oxide) having a nanoporous structure."
22,"Activated Carbon","http://en.wikipedia.org/wiki/Activated_carbon","(or activated charcoal, activated coal, carbo activatus) A form of carbon processed to be riddled with small, low-volume pores that increase the surface area available for adsorption or chemical reactions. Due to its high degree of microporosity, just one gram of activated carbon has a surface area in excess of 500 square meters. An activation level sufficient for useful application may be attained solely from high surface area; however, further chemical treatment often enhances adsorption properties."
23,"Added Mass","http://en.wikipedia.org/wiki/Added_mass","(or Virtual Mass) The inertia added to a system because an accelerating or decelerating body must move (or deflect) some volume of surrounding fluid as it moves through it."
24,"Adhesive","http://en.wikipedia.org/wiki/Adhesive","A compound that adheres or bonds two items together. Adhesives may come from either natural or synthetic sources. Some modern adhesives are extremely strong, and are becoming increasingly important in modern construction and industry."
25,"Adiabatic Cooling","http://en.wikipedia.org/wiki/Adiabatic_process#Adiabatic_heating_and_cooling","Adiabatic cooling occurs when the pressure of a substance is decreased as it does work on its surroundings. Adiabatic cooling does not have to involve a fluid."
