,Look-up table: applications when a FUNCTION (on row) is applied to an OBJECT (in column).,"Numbers are scientific applications, to be looked up in list_topics.csv.",,,
,divided solid,field,gas,liquid,solid
absorb,"21,22,24,36,91,117,200,213,309,371,409,581,608,610,758,838,863,1001","2,9,19,36,47,64,70,84,100,101,104,120,145,170,180,250,251,261,277,309,335,341,345,356,357,363,370,374,397,404,410,430,431,433,448,469,471,476,512,562,563,571,595,605,671,692,741,746,747,753,775,812,831,840,843,857,892,895,905,928,929,938,939,979,982","9,21,22,36,64,131,148,207,371,396,409,447,581,582,589,608,677,758,792,829,875,880,943,1001","9,21,22,36,64,117,128,131,148,358,371,387,396,409,447,454,487,531,532,581,582,589,602,605,608,610,758,792,829,838,843,863,880,943,1001","358,409,483,487,532,589,814,863"
accumulate,"14,18,21,22,24,90,91,117,146,147,153,161,176,189,193,200,213,294,308,309,310,344,353,354,358,359,371,380,395,398,402,409,426,469,484,508,581,604,608,610,651,719,722,758,790,791,810,812,814,817,838,880,881,1001","9,63,84,88,131,180,277,348,370,404,448,471,571,649,667,670,692,741,800,815,840,892,918,928,929,988,1001,1003","9,21,22,55,131,148,207,309,403,409,447,448,484,581,582,588,608,721,829,943","9,21,22,55,117,128,131,148,308,309,310,313,353,358,366,398,409,447,448,454,482,484,487,531,532,581,582,588,589,608,610,721,758,814,829,838,880,943,969,1001","1,14,18,24,140,153,154,170,176,213,308,309,310,311,313,329,358,395,398,409,482,483,484,487,532,589,677,687,688,719,791,814,880,952"
bend,"31,294,308","13,19,60,70,103,131,245,294,308,317,391,404,464,523,604,612,629,670,692,712,759,977,978,1003","30,31,35,104,174,195,217,294,315,339,344,359,371,373,467,474,722,847,939,940,972","195,294,308,315,359,371,398,722,940","90,170,282,308,374,429,439,476,505,553,562,633,647,729,770,772,799,817,828,928"
break down,"15,19,31,32,46,73,138,177,206,290,301,339,380,404,455,476,493,511,512,639,720,772,788,797,815,863,875,897,979,988,994","13,19,60,70,103,131,245,294,308,317,391,404,464,523,604,612,629,670,692,712,759,977,978,1003","63,64,138,301,309,380,455,484,600,639,709,815","32,46,63,64,138,206,290,301,309,311,358,366,371,380,455,482,484,512,531,532,600,639,815,863,875,951","2,32,46,63,73,117,138,177,206,234,278,290,301,354,380,404,455,476,481,482,484,493,512,593,600,639,720,772,788,800,815,843,863,875,879,897,979,982"
change phase,"31,153,250,290,301,339,353,431,476,511,512,523,590,814","356,604,612,655,692,759,918","154,335,371,431,549,717,722","1,311,335,360,366,371,388,431,511,549,590,591,717,722,814,839,843,861,969","2,278,290,301,388,431,476,511,562,563,590,812,814"
clean,"24,31,32,46,138,146,153,160,174,177,200,206,213,229,294,309,344,358,366,380,385,388,395,409,426,455,508,532,589,608,639,723,797,815,863,875","356,604,612,655,692,759,918","18,21,22,24,36,117,138,148,160,174,213,229,301,308,309,358,380,409,426,508,581,582,600,608,639,709,723,758,792,838,953,1001","18,21,22,31,32,36,117,128,131,138,146,148,160,174,189,206,213,229,254,301,308,309,358,380,409,426,455,482,508,512,531,532,581,582,600,608,639,653,723,758,792,829,838,863,951,953,1001","2,24,117,128,138,153,177,206,229,278,301,308,344,358,366,380,395,409,426,454,455,481,482,484,493,511,512,532,600,610,639,723,838,863,875,952"
compress,"31,62,70,71,73,76,122,146,147,161,213,230,235,262,282,294,297,309,339,340,359,398,402,404,429,446,467,474,553,627,647,651,722,729,772,783,788,800,817,833,840,856,889,988,994","9,13,19,63,84,245,277,301,317,342,348,391,464,471,523,571,629,670,671,757,759,800,817,819,977,978,1003","9,35,122,147,217,282,294,298,339,344,359,373,398,402,403,422,429,452,467,474,484,553,588,593,647,651,685,721,722,729,799,800,877,887,937,940,971,976,982","9,35,122,147,282,294,298,307,339,344,373,398,429,467,474,553,588,593,647,651,685,722,729,799,800,877,982","2,9,15,32,46,52,59,60,68,73,90,98,122,147,161,177,193,230,235,282,294,298,339,341,374,400,402,404,429,446,525,553,562,593,616,647,729,741,770,772,783,799,800,828,840,856,877,982,988,996"
concentrate,"18,21,22,24,31,91,146,147,153,161,177,189,193,200,213,230,235,294,297,308,309,310,340,353,354,358,359,395,398,426,446,608,722,772,783,788,790,791,812,830,881,889,1001","180,294,308,317,348,356,357,391,404,426,523,544,629,667,670,692,759,800,817,831,1001,1003","21,22,254,282,309,402,467,582,608,722,760,800,937,971","21,230,254,294,307,309,358,398,454,482,487,531,532,608,653,829,951","68,91,147,153,154,174,189,230,294,308,309,358,374,398,446,482,532,548,616,677,772,783,791,800,810,969"
condense,,"13,438,692,831","335,366,431,432,535,582,717,722,809,937",311,775
constrain,"14,18,21,22,24,91,117,147,161,176,193,212,213,247,264,282,294,308,309,310,311,313,353,354,358,371,387,395,398,426,476,484,508,510,563,581,608,610,630,633,758,790,791,810,812,814,816,817,830,838,889,953,969,985,1001","13,19,47,250,251,261,294,308,345,348,356,357,391,424,426,471,476,523,595,604,667,753,755,759,817,977,1001","9,21,22,55,117,207,282,371,447,476,582,589,608,633,645,697,792,838,883,888,943,953,1001","21,22,55,117,148,282,294,308,323,353,358,371,398,447,454,476,531,563,581,582,589,608,633,645,697,753,758,792,814,817,838,888,943,953,969,1001","14,18,24,73,77,117,149,161,196,212,247,264,282,287,294,308,311,353,354,358,371,394,398,405,426,429,439,442,476,505,525,543,573,580,589,604,633,647,649,684,729,791,810,814,816,817,836,840,844,848,884,938,957,967,969,985"
cool,"28,31,101,206,335,344,366,385,399,415,431,432,433,476,535,549,717,753,775,846,902,911,917",899,"28,31,128,148,335,344,359,366,399,431,432,433,447,476,508,535,549,713,717,758,775,809,839,846,902,907,911,917,937","28,31,101,128,148,313,335,344,359,360,366,385,399,431,432,433,447,467,476,508,535,549,713,717,758,775,839,846,902,907,911,917,993","2,28,101,128,148,193,313,315,335,344,353,359,366,385,399,415,431,432,433,447,467,476,508,535,549,713,717,753,758,775,788,839,846,857,899,902,907,911,993"
deposit,"24,146,147,153,154,161,165,176,189,193,213,294,308,309,310,358,426,484,719,772,790,791,839,889",,"22,582,588,608,677,1001","308,310,313,358,366,398,454,582,588,772,814,835,839","1,24,140,151,153,154,212,301,310,311,313,329,331,354,358,366,398,454,483,600,677,687,688,719,791,810,814,918,952"
destroy,"2,32,46,138,177,206,290,301,339,404,455,493,511,512,639,720,772,797,814,815,897,994","19,47,237,245,251,261,356,357,671,692,857","63,64,138,301,396,447,511,639","32,46,63,64,138,206,290,301,363,396,447,511,512,639","2,32,46,59,63,117,138,177,206,278,290,301,339,348,354,382,404,476,481,493,511,512,593,602,639,720,800,843,897,979,982"
