,Look-up table: scientific effects that perform a FUNCTION (on row) to an OBJECT (in column).,"Numbers are scientific effects, to be looked up in list_topics.csv.",,,
,divided solid,field,gas,liquid,solid
absorb,"45,92,246,271,379,406,636,638,678,700,749,820,826,862,871,876,950,","4,7,10,20,38,50,69,94,99,110,111,123,152,159,178,187,192,209,210,215,221,223,241,252,258,263,265,270,280,304,285,289,292,295,312,319,320,324,347,350,368,383,392,428,435,443,496,519,524,530,536,550,552,555,572,574,579,583,592,601,620,648,654,656,658,660,661,662,663,665,668,669,673,675,680,694,695,726,742,745,756,761,766,781,795,802,811,842,845,851,853,859,885,886,893,901,906,909,910,914,920,930,958,965,980,","5,118,156,325,352,678,700,748,749,820,826,862,950,","5,118,124,156,184,325,352,456,634,636,678,700,748,749,820,826,862,950,986,","171,352,406,678,700,748,749,820,862,876,"
accumulate,"5,27,29,48,92,123,144,150,164,166,171,186,208,271,272,273,286,295,316,318,330,347,355,361,376,379,384,386,406,416,420,472,536,546,554,583,623,636,673,676,701,703,707,743,786,794,820,826,854,871,876,914,934,973,","38,49,50,94,123,178,192,270,271,316,318,368,372,428,443,475,550,583,601,658,669,675,686,756,842,859,872,885,909,930,934,968,","5,102,118,168,181,226,271,305,318,325,352,355,389,486,533,554,583,623,678,700,701,707,708,820,854,862,871,954,973,","5,45,92,102,118,124,166,168,171,181,305,325,347,352,355,389,406,420,456,460,546,554,583,623,634,636,654,673,678,700,701,707,820,854,862,904,914,973,986,","5,45,92,166,168,171,208,226,271,286,292,318,334,347,352,355,361,367,406,416,538,546,554,583,623,636,654,673,678,700,701,786,794,820,862,871,876,914,934,"
bend,"29,164,187,253,271,273,319,375,","20,38,69,95,106,118,182,191,202,244,252,273,304,316,318,346,355,372,390,416,418,440,475,499,503,530,546,550,554,557,592,613,694,751,752,781,882,896,930,934,941,970,","23,27,29,34,49,83,87,102,144,164,175,178,181,186,191,220,225,226,227,232,246,273,289,325,337,338,355,364,369,375,376,384,416,417,485,486,491,499,536,546,554,557,594,686,695,706,707,708,711,763,854,891,893,934,941,973,992,","23,82,83,92,102,118,164,185,191,233,273,289,318,321,325,347,355,364,369,375,416,449,499,500,546,554,557,706,707,708,854,874,904,922,934,941,973,","92,178,185,221,270,273,312,318,319,326,338,355,367,369,375,379,416,462,472,546,554,556,566,574,680,689,695,706,708,711,714,798,801,820,870,885,891,893,927,965,990,"
break down,"3,4,39,175,182,205,219,220,231,232,265,302,314,327,330,337,338,350,352,375,389,392,435,457,459,466,468,473,486,496,527,579,621,622,654,672,663,686,706,708,727,728,732,734,748,749,756,805,820,823,824,827,841,862,867,891,896,898,910,927,947,948,961,980,981,997,","38,106,118,241,244,252,276,304,316,368,554,665,675,686,781,1000,","27,156,175,182,220,232,272,292,314,326,327,338,352,468,473,486,527,621,638,654,672,663,686,727,728,732,748,749,820,824,826,896,910,950,","11,27,45,143,156,175,182,220,232,265,272,292,295,314,326,327,338,352,453,457,459,468,473,486,527,621,638,672,663,686,727,728,732,748,749,820,823,824,826,896,910,948,961,","3,11,27,114,143,175,182,203,219,220,221,227,231,232,265,272,292,295,302,314,326,327,330,338,350,352,367,375,389,392,453,457,459,466,468,473,486,491,496,527,574,621,638,654,672,663,686,706,727,728,732,734,748,749,754,756,805,820,823,824,826,827,841,853,862,867,885,896,898,910,927,947,948,961,981,997,"
change phase,"4,5,92,171,175,182,183,188,220,231,232,239,265,302,312,334,337,338,367,435,459,473,496,519,579,621,622,654,686,732,820,826,853,871,882,896,910,919,965,","252,256,413,465,613,696,751,777,930,961,","127,183,188,208,324,334,389,519,623,708,711,826,862,871,882,950,","26,72,92,99,127,163,171,182,183,188,208,227,239,272,324,326,334,337,338,352,389,406,435,473,519,520,556,564,623,686,706,711,754,823,826,854,862,882,896,947,948,950,968,","26,72,92,171,182,183,227,231,232,239,272,302,312,337,338,352,367,389,406,435,459,473,496,519,621,622,686,754,826,871,876,882,896,910,965,"
clean,"3,5,27,45,108,124,175,219,220,231,265,271,318,327,330,352,355,367,392,440,459,546,554,638,654,672,663,686,700,727,748,749,756,762,786,820,823,826,853,862,867,876,947,948,961,980,981,","4,5,7,159,228,372,552,656,669,","5,27,125,156,175,192,271,272,273,305,318,327,352,355,440,546,554,638,652,654,672,663,700,732,748,749,794,826,862,914,","5,11,27,99,124,143,156,175,305,327,352,355,361,440,453,546,554,636,638,652,654,672,663,700,732,748,749,764,786,794,826,862,","3,11,27,45,124,143,175,219,220,231,292,302,327,330,352,355,392,453,459,460,491,527,538,546,554,574,638,654,672,663,686,727,732,734,748,749,756,820,823,826,827,841,853,854,862,867,933,934,941,947,950,961,980,981,"
compress,"3,49,69,144,178,187,219,221,232,253,258,269,270,271,273,289,295,312,318,319,326,338,355,367,375,376,416,436,440,466,472,522,524,536,546,554,556,564,566,574,614,646,676,680,682,689,695,708,711,714,745,786,794,805,827,873,891,893,927,947,948,961,965,980,","20,106,112,123,178,238,244,256,273,318,355,372,390,418,475,546,592,618,751,752,756,784,872,","69,105,144,178,181,187,188,319,325,326,338,355,365,375,416,421,428,450,466,491,522,524,554,556,564,567,574,624,635,646,654,695,708,711,714,805,872,882,885,891,893,922,948,992,","69,144,178,181,187,188,219,305,306,319,325,326,338,355,365,375,416,428,450,466,491,522,524,554,556,557,564,567,574,635,646,654,695,708,711,714,872,885,891,893,922,992,","11,69,114,143,144,187,188,201,219,221,226,269,270,319,326,338,355,365,375,379,416,420,428,443,450,466,522,524,554,556,564,566,574,614,635,646,654,682,689,695,708,711,714,794,872,885,891,893,927,965,992,"
concentrate,"3,29,48,144,150,164,166,178,186,208,219,225,268,269,270,271,272,273,289,295,312,316,318,319,330,347,355,361,375,376,379,384,416,440,466,536,546,554,564,579,636,673,676,707,708,743,745,779,786,794,826,871,876,891,914,934,947,948,961,973,980,","276,372,418,546,554,572,592,601,751,752,811,872,934,","106,118,168,178,181,208,226,292,325,554,623,678,707,708,711,820,871,891,973,","99,118,163,166,168,178,208,292,325,347,389,546,554,623,634,636,678,707,764,820,871,904,973,","48,144,150,152,166,168,178,208,226,271,292,347,361,367,416,450,466,546,554,574,579,623,636,673,676,678,786,794,820,871,891,"
condense,"226,546,574,",,"25,125,178,181,183,188,226,324,497,623,648,654,700,708,732,862,882,896,955,","25,72,182,227,239,324,","72,182,239,"
