,Look-up table: applications when an ENERGY TYPE 1 (on row) is transformed to an ENERGY TYPE 2 (in column).,"Numbers are scientific applications, to be looked up in list_topics.csv.",,,,,,,,
,acoustic,chemical,electrical,electromagnetic,kinematic,kinetic,magnetic,mechanical,optical,thermal
acoustic,"13,19,37,47,51,148,438,516,757,960,977,",,"8,298,586,679,825,926,","516,926,",,"14,15,18,588,840,946,960,",,"13,14,15,18,840,946,960,","516,664,710,926,","588,902,"
chemical,"339,593,716,800,971,","1,24,32,46,96,138,151,154,212,340,409,482,","9,66,84,88,277,363,396,585,","63,339,348,511,569,800,",,"9,30,65,107,116,128,153,154,160,189,229,230,242,339,340,588,593,716,771,800,875,971,",,"9,24,30,107,116,128,189,212,229,230,242,339,340,588,593,716,771,800,875,971,","63,339,348,511,800,","9,24,32,46,121,177,229,230,339,348,593,716,800,"
electrical,"282,294,298,586,825,918,","1,9,53,56,59,84,140,158,277,299,310,311,313,331,830,985,","9,51,56,251,255,277,287,356,471,544,632,755,808,926,","251,423,481,502,511,528,569,597,632,855,926,",,"9,80,140,169,264,282,288,294,296,297,298,307,308,309,310,315,400,481,484,487,489,529,543,551,586,588,718,737,755,771,799,817,","287,294,308,471,720,817,836,","9,80,169,264,278,282,287,288,294,296,297,298,307,308,309,315,400,481,484,487,489,529,543,551,586,588,718,737,755,771,799,817,836,","251,281,502,511,528,569,597,632,855,926,985,","9,251,595,830,892,979,985,"
electromagnetic,"516,890,","1,24,64,512,517,667,790,905,","142,180,528,597,692,747,815,908,926,","47,51,57,237,240,245,342,345,357,391,438,464,511,523,541,569,586,597,612,629,670,671,693,710,712,759,796,812,831,855,905,926,977,978,1003,",,"204,588,630,771,799,",,"204,588,630,771,799,","464,511,569,597,612,629,667,670,692,855,908,926,","100,345,391,464,512,523,670,815,857,892,"
kinematic,,,,,,,,,,
kinetic,"19,35,37,122,193,262,336,877,890,939,943,957,960,","9,170,250,340,394,548,","9,264,287,298,586,679,890,923,976,994,","597,710,",,"9,35,73,74,76,78,98,116,122,137,145,146,147,149,195,196,199,213,217,243,250,259,262,328,332,336,344,359,370,373,378,404,407,429,451,467,469,474,588,640,641,647,649,651,685,715,721,722,729,730,746,768,772,783,828,840,844,856,877,881,887,923,928,929,939,940,975,976,982,988,989,994,996,","264,287,","9,35,98,122,137,145,146,147,195,196,199,213,217,243,250,259,262,328,336,359,370,373,378,404,407,424,429,451,467,469,474,493,588,640,641,647,649,651,685,715,721,722,729,730,746,768,772,783,828,840,844,856,877,881,887,923,928,929,939,975,976,982,988,989,994,996,","597,599,664,710,796,","2,9,134,196,394,402,717,722,775,809,846,847,892,940,967,993,"
magnetic,,"548,","42,287,471,558,926,","926,",,"42,169,296,297,308,353,354,400,529,543,548,551,553,588,799,","42,287,308,426,","42,169,264,287,296,297,308,353,354,400,426,529,543,548,551,553,562,563,588,799,836,","926,","549,911,"
mechanical,"19,35,37,122,193,262,336,877,890,939,943,957,960,","9,68,170,250,340,394,548,","9,264,298,586,679,923,976,994,","63,597,710,780,",,"9,35,62,78,98,104,122,137,195,196,199,213,217,243,250,259,262,328,336,344,359,370,373,378,404,407,429,448,451,467,469,474,588,640,641,647,649,651,685,715,721,722,729,730,746,768,771,772,783,828,840,844,856,877,881,887,923,928,929,939,974,975,976,982,988,989,994,996,","264,","9,35,70,71,98,122,137,149,195,196,199,213,217,243,250,259,262,328,336,359,370,373,378,404,407,424,429,448,451,467,469,474,493,588,640,641,647,649,651,685,715,721,722,729,730,746,768,771,772,783,828,840,844,856,877,881,887,923,928,929,939,975,976,982,988,989,994,996,","63,597,599,664,710,780,","2,9,134,196,394,402,717,722,775,809,846,847,892,902,967,993,"
optical,"516,","1,24,64,282,512,513,517,667,905,","180,528,597,747,815,","464,511,569,597,612,629,670,",,"204,630,799,",,"204,630,799,","51,57,237,240,245,342,357,391,464,511,523,541,586,597,612,629,670,671,693,710,712,759,796,812,831,905,977,978,1003,","57,100,391,464,512,523,670,815,857,892,"
thermal,"716,843,897,902,","1,9,24,52,101,109,132,133,135,151,153,154,230,248,329,335,399,446,476,513,619,667,704,905,908,985,","9,899,907,908,915,994,","464,657,753,905,",,"9,30,65,90,107,116,134,153,217,254,430,432,498,588,713,716,738,771,775,792,799,843,846,897,912,917,994,1002,",,"9,30,65,90,107,116,134,217,430,476,498,588,713,716,738,771,775,792,799,843,846,897,912,902,917,994,1002,","464,657,753,796,905,908,","9,28,121,148,431,432,433,464,535,892,911,917,"
