Meaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,(method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ,,(11) separation principles,(40) basic creativity principles,,,,,,,,,,,,,,,,,,,,combine TRIZ
Keywords in Vietnamese,,Keywords related to non-TRIZ activating creativitive thinking techniques,đối tượng tiêu điểm,phân tích hình thái,câu hỏi kiểm tra,não công,Synectics,tích cực hóa tư duy,"đối tượng tiêu điểm, phân tích hình thái, câu hỏi kiểm tra, não công, Synectics, tích cực hóa tư duy",Keywords related to TRIZ techniques,biến đổi mẫu,"thủ thuật, nguyên tắc",biến hại thành lợi,"cầu hóa, cầu tròn hóa",đẳng thế,dự phòng,kết hợp,"liên tục các tác động có ích, liên tục tác động có ích",linh động,phân nhỏ,quan hệ phản hồi,tách khỏi,tự phục vụ,ứng suất sơ bộ,vạn năng,thực hiện sơ bộ,giải thiếu,giải thừa,chuyển sang chiều khác,đảo ngược,chứa trong,"biến đổi mẫu, thủ thuật, nguyên tắc, biến hại thành lợi, cầu hóa, cầu tròn hóa, đẳng thế, dự phòng, kết hợp, liên tục các tác động có ích, liên tục tác động có ích, linh động, phân nhỏ, quan hệ phản hồi, tách khỏi, tự phục vụ, ứng suất sơ bộ, vạn năng, thực hiện sơ bộ, giải thiếu, giải thừa, chuyển sang chiều khác, đảo ngược, chứa trong"
data_individual/data_hssv/hs0028.txt,"193
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0046.txt,"309
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0030.txt,"196
",,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,1,1
data_individual/data_hssv/hs0001.txt,"35
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0036.txt,"214
",,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0035.txt,"210
",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
data_individual/data_hssv/hs0015.txt,"79
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0007.txt,"26
",,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0040.txt,"249
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0020.txt,"127
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,1
data_individual/data_hssv/hs0047.txt,"309
",,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0008.txt,"43
",,,,,,,1,1,,,1,,,,1,,1,,,,,,,,1,,,,,,1
data_individual/data_hssv/hs0017.txt,"117
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0016.txt,"95
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0005.txt,"26
",,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0051.txt,"423
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0037.txt,"216
",,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0004.txt,"127
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
