Meaning (on row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords in English (on row),,,,Method of Focal Objects,Morphological Analysis Method,Check-listing Method,Brainstorming,Synectics (method of using analogies),Methods of activating creativitive thinking,combine non-TRIZ techniques,,(11) separation principles,(40) basic creativity principles,segmentation,taking out,local quality,asymmetry,merging,universality,nesting,anti-weight,preliminary anti-action,preliminary action,beforehand cushioning,equipotentiality,reversing,spheroidality,dynamics,partial or excessive actions,change to another dimension,mechanical vibration,periodic action,continuity of useful actions,skipping,blessing in disguise,feedback,intermediary,self-service,copying,cheap short-living objects,mechanics substitution,pneumatics and hydraulics,flexible shells and thin films,porous materials,color change,homogeneity,discarding and recovering,parameter changes,phase transitions,thermal expansion,strong oxidants,inert atmosphere,composite materials,combine TRIZ techniques
Keywords in Vietnamese (on row),Specialization/Job,Course number,Keywords related to non-TRIZ activating creativitive thinking techniques,đối tượng tiêu điểm,phân tích hình thái,câu hỏi kiểm tra,não công,"Synectics, các phép tương tự",tích cực hóa tư duy,"đối tượng tiêu điểm, phân tích hình thái, câu hỏi kiểm tra, não công, Synectics, tích cực hóa tư duy",Keywords related to TRIZ techniques,biến đổi mẫu,"thủ thuật, nguyên tắc",phân nhỏ,tách khỏi,phẩm chất cục bộ,"phản đối xứng, bất đối xứng",kết hợp,vạn năng,chứa trong,phản trọng lượng,"ứng suất sơ bộ, phản tác động sơ bộ",thực hiện sơ bộ,dự phòng,đẳng thế,đảo ngược,"cầu hóa, cầu tròn hóa",linh động,"giải thiếu, giải thừa, giải thiếu hoặc thừa, tác động thiếu, tác động thừa",chuyển sang chiều khác,dao động cơ học,tác động theo chu kỳ,"liên tục các tác động có ích, liên tục tác động có ích",vượt nhanh,biến hại thành lợi,quan hệ phản hồi,"sử dụng trung gian, sử dụng đối tượng trung gian",tự phục vụ,sao chép,rẻ thay cho đắt,"thay thế sơ đồ cơ học, thay thế kết cấu cơ học","sử dụng các chất khí và lỏng, kết cấu khí và lỏng",vỏ dẻo và màng mỏng,"chi tiết nhiều lỗ, vật liệu nhiều lỗ",thay đổi màu sắc,đồng nhất,"phân hủy hoặc tái sinh từng phần, phân hủy hoặc tái sinh các phần","thay đổi thông số hóa lý, thay đổi các thông số hóa lý",chuyển pha,"sự nở nhiệt, sự co nhiệt",chất ôxy hóa mạnh,thay đổi độ trơ,"vật liệu hợp thành, vật liệu composite","biến đổi mẫu, thủ thuật, nguyên tắc, biến hại thành lợi, cầu hóa, cầu tròn hóa, đẳng thế, dự phòng, kết hợp, liên tục các tác động có ích, liên tục tác động có ích, linh động, phân nhỏ, quan hệ phản hồi, tách khỏi, tự phục vụ, ứng suất sơ bộ, vạn năng, thực hiện sơ bộ, giải thiếu, giải thừa, chuyển sang chiều khác, đảo ngược, chứa trong"
data_individual/data_hssv/hs0028.txt,"SV năm thứ hai, Học viện bưu chính viễn thông
","193
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0046.txt,"sinh viên Đại học Y dược
","309
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0030.txt,"sinh viên ĐH bách khoa
","196
",,,,,,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0001.txt,"học sinh lớp 11 Trường chuyên Lê Hồng Phong
","35
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0036.txt,"sinh viên Trường đại học khoa học tự nhiên
","214
",,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0035.txt,"sinh viên
","210
",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0015.txt,"sinh viên ĐH tổng hợp
","79
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0007.txt,"sinh viên ĐH Kiến trúc
","26
",,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0040.txt,"sinh viên
","249
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0020.txt,"sinh viên, ĐH Kỹ Thuật
","127
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0047.txt,"sinh viên
","309
",,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0008.txt,"sinh viên
","43
",,,,,,,1,1,,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0017.txt,"sinh viên
","117
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0016.txt,"sinh viên ĐH bách khoa
","95
",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0005.txt,"12/12, học sinh trường nghề
","26
",,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0051.txt,"sinh viên
","423
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0037.txt,"sinh viên Trường đại học khoa học tự nhiên
","216
",,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0004.txt,"học sinh
","127
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0039.txt,"sinh viên
","219
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0009.txt,"sinh viên
","43
",,,,,,,,,,,1,,1,,,1,,,,1,1,1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1
data_individual/data_hssv/hs0014.txt,"sinh viên ĐH ngành QTKD
","73
",,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
data_individual/data_hssv/hs0038.txt,"sinh viên
","218
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0021.txt,"sinh viên Đại học Nông Lâm
","127
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_individual/data_hssv/hs0031.txt,"sinh viên
","200
",,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
