Meaning,,,,,,,,,,,,,,,Người học đánh giá kiến thức học được là mới,"Người học có cách nhìn nhận sự việc tích cực, hoặc tích cực làm việc (loại trừ ""tích cực hóa tư duy"" - nói về các công cụ)",,,,,,,,"Người học đánh giá kiến thức học được là có ích, muốn làm gì đó có ích (loại trừ ""liên tục tác động có ích"" - nói về một thủ thuật)","thủ thuật sáng tạo, thống kê ở đây để loại trừ đối với từ khóa ""có ích""",,Người học sẽ nghiên cứu thêm về PPLST,Người học sẽ xây dựng một thế giới quan mới nhờ PPLST,Người học sẽ xem xét các vấn đề với góc nhìn của PPLST,Người học sẽ dạy lại / hướng dẫn lại người khác về PPLST
Keywords in English,,,innovation,experience,contradiction,habit,possitive thinking?,situation,TRIZ,logic,system operator,system thinking,combination,,new,"positive, active",,lesson,improve,enhance,"success, successful, successfully",problem solving,"unbound, make it possible, take advantage of",useful,,,"study, research","construct , build","analyze, view, see",teach
Keywords in Vietnamese,,Keywords related to TRIZ and creativity,đổi mới,kinh nghiệm,mâu thuẫn,thói quen,tích cực hóa tư duy,tình huống,TRIZ,"logic, lôgic, lôgíc",màn hình,tư duy hệ thống,kết hợp,Keywords related to psychology / cognitive / emotions,mới mẻ,tích cực,Keywords related to results,bài học,cải tiến,nâng cao,thành công,giải bài toán,phát huy,"giúp ích, có ích",liên tục tác động có ích,Keywords related to actions,nghiên cứu,xây dựng,xem xét,"dạy lại, truyền đạt lại, truyền đạt tới, hướng dẫn"
data_individual/data_hssv/hs0028.txt,"193
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data_individual/data_hssv/hs0046.txt,"309
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
data_individual/data_hssv/hs0030.txt,"196
",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
data_individual/data_hssv/hs0001.txt,"35
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0036.txt,"214
",0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
data_individual/data_hssv/hs0035.txt,"210
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
data_individual/data_hssv/hs0015.txt,"79
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
data_individual/data_hssv/hs0007.txt,"26
",0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
data_individual/data_hssv/hs0040.txt,"249
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
data_individual/data_hssv/hs0020.txt,"127
",0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
data_individual/data_hssv/hs0047.txt,"309
",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
data_individual/data_hssv/hs0008.txt,"43
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
data_individual/data_hssv/hs0017.txt,"117
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
data_individual/data_hssv/hs0016.txt,"95
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0005.txt,"26
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0051.txt,"423
",0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
data_individual/data_hssv/hs0037.txt,"216
",0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
data_individual/data_hssv/hs0004.txt,"127
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
data_individual/data_hssv/hs0039.txt,"219
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0009.txt,"43
",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
data_individual/data_hssv/hs0014.txt,"73
",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0038.txt,"218
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0021.txt,"127
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0031.txt,"200
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0024.txt,"131
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
data_individual/data_hssv/hs0000.txt,"VII.3.2. THU HOẠCH CỦA CÁC HỌC SINH, SINH VIÊN
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0045.txt,"294
",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0042.txt,"263
",0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0003.txt,"59
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
data_individual/data_hssv/hs0013.txt,"65
",0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0
data_individual/data_hssv/hs0010.txt,"45
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
data_individual/data_hssv/hs0002.txt,"58
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0050.txt,"417
",0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0041.txt,"263
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0018.txt,"117
",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
data_individual/data_hssv/hs0032.txt,"209
",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
data_individual/data_hssv/hs0044.txt,"265
",0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0
data_individual/data_hssv/hs0025.txt,"144
",0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0049.txt,"387
",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
data_individual/data_hssv/hs0048.txt,"353
",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
data_individual/data_hssv/hs0027.txt,"192
",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0006.txt,"19
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
data_individual/data_hssv/hs0033.txt,"209
",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
data_individual/data_hssv/hs0026.txt,"192
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
data_individual/data_hssv/hs0022.txt,"128
",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0029.txt,"194
",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
data_individual/data_hssv/hs0043.txt,"263
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0012.txt,"60
",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0019.txt,"125
",0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
data_individual/data_hssv/hs0023.txt,"131
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0034.txt,"210
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0052.txt,"456
",0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data_individual/data_hssv/hs0011.txt,"45
",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
